Activate,Активувати
Type,Тип
Variants,Варіанти
"View Product Abstract","Переглянути абстрактний продукт"
"View Product Concrete","Переглянути продукт Бетон"
Product,Продукт
Products,Продукти
Availability,Наявність
"New from",Новинки
"New to",Новинки
"At least one price should be specified","Принаймні одну ціну слід вказати"
"Please enter at least an SKU and a Name of the product in every locale in the General section","Будь ласка, введіть принаймні артикул та назву продукту в кожній локалізації в розділі Загальне"
"The product [%s] was added successfully.","Продукт [%s] було успішно додано."
Images,Зображення
"Add Volume Price","Додати цінову категорію"
"Is bundle","Це пакунок"
"View Concrete Product","Переглянути бетонний продукт"
"Edit Concrete Product","Редагувати конкретний продукт"
"Super attributes","Супер атрибути"
"Valid from","Дійсно з"
"Valid to","Дійсно до"
Searchable,Пошуковий
Stock,Наявність
"Sort order","Порядок сортування"
"Assign bundled products","Призначити пакетовані продукти"
"Valid From (Time in UTC)","Дійсно з (час в UTC)"
"Valid To (Time in UTC)","Дійсно до (час за UTC)"
Remove,Видалити
quantity,Кількість
Price,Ціна
"id product","Ідентифікатор продукту"
select,вибрати
"Product name","Назва товару"
Types,Типи
